State,Date,Death,Dates
Massachusetts,3/25/20,4,2020-03-25
Michigan,3/25/20,20,2020-03-25
Minnesota,3/25/20,0,2020-03-25
Mississippi,3/25/20,2,2020-03-25
Missouri,3/25/20,1,2020-03-25
Montana,3/25/20,0,2020-03-25
Nebraska,3/25/20,0,2020-03-25
Nevada,3/25/20,2,2020-03-25
New Hampshire,3/25/20,0,2020-03-25
New Jersey,3/25/20,21,2020-03-25
New Mexico,3/25/20,1,2020-03-25
New York,3/25/20,157,2020-03-25
North Carolina,3/25/20,2,2020-03-25
North Dakota,3/25/20,0,2020-03-25
Northern Mariana Islands,3/25/20,0,2020-03-25
Ohio,3/25/20,6,2020-03-25
Oklahoma,3/25/20,2,2020-03-25
Oregon,3/25/20,2,2020-03-25
Pennsylvania,3/25/20,7,2020-03-25
Puerto Rico,3/25/20,0,2020-03-25
Rhode Island,3/25/20,0,2020-03-25
South Carolina,3/25/20,2,2020-03-25
South Dakota,3/25/20,0,2020-03-25
Tennessee,3/25/20,1,2020-03-25
Texas,3/25/20,4,2020-03-25
Utah,3/25/20,0,2020-03-25
Vermont,3/25/20,1,2020-03-25
Virgin Islands,3/25/20,0,2020-03-25
Virginia,3/25/20,0,2020-03-25
Washington,3/25/20,17,2020-03-25
West Virginia,3/25/20,0,2020-03-25
Wisconsin,3/25/20,4,2020-03-25
Wyoming,3/25/20,0,2020-03-25
Alabama,3/26/20,0,2020-03-26
Alaska,3/26/20,0,2020-03-26
American Samoa,3/26/20,0,2020-03-26
Arizona,3/26/20,2,2020-03-26
Arkansas,3/26/20,0,2020-03-26
California,3/26/20,14,2020-03-26
Colorado,3/26/20,1,2020-03-26
Connecticut,3/26/20,2,2020-03-26
